BroadcastDTtm,Buy_Sell,Company_Name,FLD_MODE,Flag,Fld_AcqSoldDateFrom,Fld_AcqSoldDateTo,Insider_name,Modified_date,Perc_After,Perc_of_Buysell,Quantity,Quantity_after,scrip_code,transaction_date
2015-04-20T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-03-03T00:00:00,2015-03-03T00:00:00,Shailja Arora,08 Jun 2015,,,418,,500325.0,03/03/2015
2015-04-20T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-02-18T00:00:00,2015-02-18T00:00:00,Atul Mehta,08 Jun 2015,,,500,200,500325.0,18/02/2015
2015-04-20T00:00:00,S,Reliance Industries Ltd,Market,13(6),2015-02-04T00:00:00,2015-02-04T00:00:00,Akhilesh Kumar Jain,08 Jun 2015,,,50,2450,500325.0,04/02/2015
2015-04-20T00:00:00,B,Reliance Industries Ltd,ESOS,13(6),2015-02-03T00:00:00,2015-02-03T00:00:00,Akhilesh Kumar Jain,08 Jun 2015,,,225,2500,500325.0,03/02/2015
2015-04-20T00:00:00,B,Reliance Industries Ltd,ESOS,13(6),2014-10-14T00:00:00,2014-10-14T00:00:00,Akhilesh Kumar Jain,08 Jun 2015,,,100,2275,500325.0,14/10/2014
2015-04-16T00:00:00,B,Reliance Industries Ltd,ESOS,13(4),2015-04-14T00:00:00,2015-04-14T00:00:00,Akhilesh Kumar Jain,08 Jun 2015,,,300,2800,500325.0,14/04/2015
2015-04-16T00:00:00,B,Reliance Industries Ltd,ESOS,13(4),2015-04-14T00:00:00,2015-04-14T00:00:00,Atul Mehta,08 Jun 2015,,,500,700,500325.0,14/04/2015
2015-04-16T00:00:00,B,Reliance Industries Ltd,ESOS,13(4),2015-04-14T00:00:00,2015-04-14T00:00:00,Madhavrao Ananth Baliga,08 Jun 2015,,,300,7562,500325.0,14/04/2015
2015-04-16T00:00:00,B,Reliance Industries Ltd,Employee Stock Option Schemes,13(4),2015-04-14T00:00:00,2015-04-14T00:00:00,Shailesh Nigam,08 Jun 2015,,,4800,14500,500325.0,14/04/2015
2015-04-16T00:00:00,B,Reliance Industries Ltd,ESOS,13(4),2015-04-14T00:00:00,2015-04-14T00:00:00,Shailja Arora,08 Jun 2015,,,530,530,500325.0,14/04/2015
2015-04-16T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-03-23T00:00:00,2015-03-23T00:00:00,Akhilesh Kumar Jain,08 Jun 2015,,,50,2500,500325.0,23/03/2015
2015-04-16T00:00:00,B,Reliance Industries Ltd,ESOS,13(4),2015-03-03T00:00:00,2015-03-03T00:00:00,Akhilesh Kumar Jain,08 Jun 2015,,,100,2550,500325.0,03/03/2015
2015-04-16T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-03-03T00:00:00,2015-03-03T00:00:00,Shailja Arora,08 Jun 2015,,,418,,500325.0,03/03/2015
2015-04-16T00:00:00,S,Reliance Industries Ltd,Market,13(4),2015-02-18T00:00:00,2015-02-18T00:00:00,Atul Mehta,08 Jun 2015,,,500,200,500325.0,18/02/2015
